file_name,category,url,local_path
1427942808930766.webp,ovoshchi,https://www.sas.am/upload/Sh/imageCache/779/142/1427942808930766.webp,ovoshchi/1427942808930766.webp
2082692029722227.webp,ovoshchi,https://www.sas.am/upload/Sh/imageCache/369/208/2082692029722227.webp,ovoshchi/2082692029722227.webp
8046153585197990.webp,ovoshchi,https://www.sas.am/upload/Sh/imageCache/368/804/8046153585197990.webp,ovoshchi/8046153585197990.webp
8961822206641447.webp,ovoshchi,https://www.sas.am/upload/Sh/imageCache/104/896/8961822206641447.webp,ovoshchi/8961822206641447.webp
2091401529331995.webp,ovoshchi,https://www.sas.am/upload/Sh/imageCache/339/209/2091401529331995.webp,ovoshchi/2091401529331995.webp
5100223249504268.webp,ovoshchi,https://www.sas.am/upload/Sh/imageCache/178/510/5100223249504268.webp,ovoshchi/5100223249504268.webp
5753681904717023.webp,ovoshchi,https://www.sas.am/upload/Sh/imageCache/102/575/5753681904717023.webp,ovoshchi/5753681904717023.webp
972832476616099.webp,ovoshchi,https://www.sas.am/upload/Sh/imageCache/159/972/972832476616099.webp,ovoshchi/972832476616099.webp
0182632802942382.webp,ovoshchi,https://www.sas.am/upload/Sh/imageCache/485/018/0182632802942382.webp,ovoshchi/0182632802942382.webp
407773993339951.webp,ovoshchi,https://www.sas.am/upload/Sh/imageCache/409/407/407773993339951.webp,ovoshchi/407773993339951.webp
655993254383109.webp,ovoshchi,https://www.sas.am/upload/Sh/imageCache/383/655/655993254383109.webp,ovoshchi/655993254383109.webp
5877271896409040.webp,ovoshchi,https://www.sas.am/upload/Sh/imageCache/679/587/5877271896409040.webp,ovoshchi/5877271896409040.webp
656637151608629.webp,ovoshchi,https://www.sas.am/upload/Sh/imageCache/144/656/656637151608629.webp,ovoshchi/656637151608629.webp
3703854032387760.webp,ovoshchi,https://www.sas.am/upload/Sh/imageCache/189/370/3703854032387760.webp,ovoshchi/3703854032387760.webp
8828063436402699.webp,ovoshchi,https://www.sas.am/upload/Sh/imageCache/133/882/8828063436402699.webp,ovoshchi/8828063436402699.webp
4585953057332070.webp,ovoshchi,https://www.sas.am/upload/Sh/imageCache/398/458/4585953057332070.webp,ovoshchi/4585953057332070.webp
0815962711164047.webp,ovoshchi,https://www.sas.am/upload/Sh/imageCache/159/081/0815962711164047.webp,ovoshchi/0815962711164047.webp
574904115479078.webp,ovoshchi,https://www.sas.am/upload/Sh/imageCache/834/574/574904115479078.webp,ovoshchi/574904115479078.webp
9331234006142236.webp,ovoshchi,https://www.sas.am/upload/Sh/imageCache/255/933/9331234006142236.webp,ovoshchi/9331234006142236.webp
3148283407855542.webp,ovoshchi,https://www.sas.am/upload/Sh/imageCache/189/314/3148283407855542.webp,ovoshchi/3148283407855542.webp
945704686999720.webp,ovoshchi,https://www.sas.am/upload/Sh/imageCache/226/945/945704686999720.webp,ovoshchi/945704686999720.webp
7534542620691294.webp,ovoshchi,https://www.sas.am/upload/Sh/imageCache/106/753/7534542620691294.webp,ovoshchi/7534542620691294.webp
205592925842259.webp,ovoshchi,https://www.sas.am/upload/Sh/imageCache/440/205/205592925842259.webp,ovoshchi/205592925842259.webp
8360791956662007.webp,ovoshchi,https://www.sas.am/upload/Sh/imageCache/199/836/8360791956662007.webp,ovoshchi/8360791956662007.webp
304243114226936.webp,vermut,https://www.sas.am/upload/Sh/imageCache/394/304/304243114226936.webp,vermut/304243114226936.webp
98996782902693.webp,vermut,https://www.sas.am/upload/Sh/imageCache/174/989/98996782902693.webp,vermut/98996782902693.webp
4711974166723358.webp,vermut,https://www.sas.am/upload/Sh/imageCache/419/471/4711974166723358.webp,vermut/4711974166723358.webp
5867992804134440.webp,vermut,https://www.sas.am/upload/Sh/imageCache/416/586/5867992804134440.webp,vermut/5867992804134440.webp
6243042045707988.webp,vermut,https://www.sas.am/upload/Sh/imageCache/200/624/6243042045707988.webp,vermut/6243042045707988.webp
4059701076254562.webp,vermut,https://www.sas.am/upload/Sh/imageCache/270/405/4059701076254562.webp,vermut/4059701076254562.webp
8127013266281095.webp,vermut,https://www.sas.am/upload/Sh/imageCache/122/812/8127013266281095.webp,vermut/8127013266281095.webp
3029932434104499.webp,vermut,https://www.sas.am/upload/Sh/imageCache/391/302/3029932434104499.webp,vermut/3029932434104499.webp
8893981011558600.webp,vermut,https://www.sas.am/upload/Sh/imageCache/317/889/8893981011558600.webp,vermut/8893981011558600.webp
810532452589985.webp,liqsoup,https://www.sas.am/upload/Sh/imageCache/528/810/810532452589985.webp,liqsoup/810532452589985.webp
4436063595591152.webp,liqsoup,https://www.sas.am/upload/Sh/imageCache/422/443/4436063595591152.webp,liqsoup/4436063595591152.webp
028997240310460.webp,liqsoup,https://www.sas.am/upload/Sh/imageCache/790/028/028997240310460.webp,liqsoup/028997240310460.webp
1416193398790913.webp,liqsoup,https://www.sas.am/upload/Sh/imageCache/357/141/1416193398790913.webp,liqsoup/1416193398790913.webp
2858301939637419.webp,liqsoup,https://www.sas.am/upload/Sh/imageCache/339/285/2858301939637419.webp,liqsoup/2858301939637419.webp
986615736919300.webp,liqsoup,https://www.sas.am/upload/Sh/imageCache/386/986/986615736919300.webp,liqsoup/986615736919300.webp
2687003515324204.webp,liqsoup,https://www.sas.am/upload/Sh/imageCache/128/268/2687003515324204.webp,liqsoup/2687003515324204.webp
395540166032551.webp,liqsoup,https://www.sas.am/upload/Sh/imageCache/459/395/395540166032551.webp,liqsoup/395540166032551.webp
003099679903672.webp,liqsoup,https://www.sas.am/upload/Sh/imageCache/387/003/003099679903672.webp,liqsoup/003099679903672.webp
0288682237703848.webp,liqsoup,https://www.sas.am/upload/Sh/imageCache/187/028/0288682237703848.webp,liqsoup/0288682237703848.webp
521183819386520.webp,liqsoup,https://www.sas.am/upload/Sh/imageCache/378/521/521183819386520.webp,liqsoup/521183819386520.webp
1946574187568221.webp,liqsoup,https://www.sas.am/upload/Sh/imageCache/357/194/1946574187568221.webp,liqsoup/1946574187568221.webp
4689553798760301.webp,liqsoup,https://www.sas.am/upload/Sh/imageCache/297/468/4689553798760301.webp,liqsoup/4689553798760301.webp
8580591319248004.webp,liqsoup,https://www.sas.am/upload/Sh/imageCache/170/858/8580591319248004.webp,liqsoup/8580591319248004.webp
